brand,product_name,shipping
EVGA,EVGA GeForce RTX 2080 SUPER BLACK GAMING| 08G-P4-3081-KR| 8GB GDDR6,Free Shipping
MSI,MSI GeForce RTX 2080 GAMING X TRIO Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SWF3OC-8GD Video Card,Free Shipping
ASUS,ASUS TUF Gaming X3 AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (TUF 3-RX5700XT-O8G-GAMING),Free Shipping
Sapphire Tech,Sapphire Radeon PULSE RX 590 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate,$2.99 Shipping
ASUS,ASUS TUF Gaming X3 AMD Radeon RX 5700 Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (TUF 3-RX5700-O8G-GAMING),Free Shipping
EVGA,EVGA GeForce RTX 2060 SC Ultra GAMING| 06G-P4-2067-KR| 6GB GDDR6| Dual HDB Fans,Free Shipping
ZOTAC,ZOTAC GeForce RTX 2070 DirectX 12 ZT-T20700E-10P 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card| 2 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070WF2-8GD (Rev 3.0) Video Card,Free Shipping
XFX,XFX Radeon RX 5700 XT THICC II ULTRA RX-57XT828D6 8GB 256-Bit GDDR6 PCI Express 4.0 Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M 6GB 192-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,Free Shipping
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,Free Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card| Dual HDB Fans & RGB LED,$6.99 Shipping
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super Armor OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce GTX 1660 SUPER AMP 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0 Cooling| Wraparound Metal Backplate - ZT-T16620D-10M,$8.99 Shipping
EVGA,EVGA GeForce RTX 2060 SUPER XC GAMING| 08G-P4-3162-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,$3.99 Shipping
ASRock,ASRock Phantom Gaming X Radeon VII DirectX 12 Radeon VII 16G 16GB 4096-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
MSI,MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
PowerColor,PowerColor RED DRAGON Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHDV2/OC 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,Free Shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 GAMING 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti WINDFORCE OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TWF2OC-6GD Video Card,$3.99 Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,Free Shipping
ASUS,ASUS Dual GeForce RTX 2080 DirectX 12 DUAL-RTX2080-O8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,Free Shipping
XFX,XFX Radeon RX 5700 XT THICC II RX-57XT826D6 8GB 256-Bit GDDR6 PCI Express 4.0 Video Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce GTX 1660 Ti 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| ZT-T16610F-10L,Free Shipping
XFX,XFX Radeon RX 570 DirectX 12 RX-570P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping
ASUS,ASUS ROG STRIX GeForce GTX 1060 DirectX 12 ROG-STRIX-GTX1060-A6G-GAMING 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
ASUS,ASUS Radeon RX 5700 XT PCIe 4.0 VR Ready Graphics Card with 8GB GDDR6 Memory and Support for up to 6 Monitors (RX5700XT-8G),Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),Free Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-A6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
ASUS,ASUS GeForce RTX 2080 Advanced Overclocked 8G GDDR6 Dual-Fan Edition VR Ready HDMI DP USB Type-C Graphics Card (DUAL-RTX2080-A8G),Free Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING| 08G-P4-3173-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,$3.99 Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,$3.99 Shipping
PowerColor,PowerColor RED DEVIL Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DHE/OC 8GB 256-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,$3.99 Shipping
ASUS,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC ULTRA+ Video Card| OVERCLOCKED| 2.75-Slot Extreme Cool Dual| 70C Gaming| RGB| Metal Backplate| 08G-P4-3175-KR| 8GB 15.5 GHz GDDR6,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SGAMING OC-8GD Video Card,$3.99 Shipping
XFX,XFX Radeon VII DirectX 12 RX-VEGMA3FD6 16GB 4096-Bit HBM2 PCI Express 3.0 Video Card,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G 8GB 2048-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC GAMING| 08G-P4-3172-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,Free Shipping
XFX,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping
